工作流程名称,wfdb4e276d-3e20-4851-af7f-8e3521d49eaa,,,,,,,,,,,,,
货件编号,暂未分配,,,,,,,,,,,,,
货件名称,暂未分配,,,,,,,,,,,,,
配送地址,"FONTANA, CA",,,,,,,,,,,,,
箱子数量,43,,,,,,,,,,,,,
SKU 数量,31,,,,,,,,,,,,,
商品数量,574,,,,,,,,,,,,,
,,,,,,,,,,,,,,
原厂包装发货（43 箱）,,,,,,,,,,,,,,
SKU,商品名称,ASIN,FNSKU,原厂包装模板名称,状况,预处理类型,包装箱重量（磅）,箱子长度（英寸）,箱子宽度（英寸）,箱子高度（英寸）,每箱件数,箱子总数,商品总数,箱号
T001Y-1-SMXUFBA,"SEMAXE Bath Towel Set, 8 Piece Towel Set for Bathroom, Quick Dry Cotton Towels with Hanging Loops, Easy Care, Yellow",B07GXNMV8J,B07GXNMV8J,,新品,服装、面料、毛绒玩具和纺织品,39.68,23.23,15.16,15.35,10,3,30,"FBA19F2890KDU000027,FBA19F2890KDU000028,FBA19F2890KDU000026"
TS012-BLUE,"SEMAXE Bath Towel Set, 12 Piece Cotton Towel Set for Bathroom, More Towels for Family Use, Quick Dry with Hanging Loops, Easy Care, Blue",B0DD3XKK9D,X004IO7VA7,,新品,服装、面料、毛绒玩具和纺织品,45.37,23.23,15.16,15.35,6,1,6,FBA19F2890KDU000041
T002WH-1-SMXUFBA,"SEMAXE White Hand Towels for Bathroom, 4-Pack Cotton Hand Towels with Hanging Loop, Soft & Absorbent, Quick Dry, Clean Hotel Use, Easy Care",B0897JXHH5,X002J93TWR,,新品,服装、面料、毛绒玩具和纺织品,39.2,18.5,17.13,15.35,22,2,44,"FBA19F2890KDU000035,FBA19F2890KDU000036"
HT006-WHITE,"SEMAXE White Hand Towels for Bathroom, 6-Pack Cotton Hand Towels with Hanging Loop, Soft & Absorbent, Quick Dry, Clean Hotel Use, Easy Care",B0FF1N6NLW,X004QE4625,,新品,服装、面料、毛绒玩具和纺织品,40.81,18.5,17.13,15.35,16,1,16,FBA19F2890KDU000011
TS008-WF,"SEMAXE Bath Towel Set, 8 Piece Towel Set for Bathroom, Quick Dry Cotton Towels with Hanging Loops, Easy Care, Colorful Striped",B0FPDZB998,X004TMAGV9,,新品,服装、面料、毛绒玩具和纺织品,39.68,23.23,15.16,15.35,10,2,20,"FBA19F2890KDU000039,FBA19F2890KDU000038"
T001BL1-1-WASMXUFBA,"SEMAXE 100% Cotton Washcloths 12-Pack, 13 × 13 Inch Soft Face Towels with Hanging Loop, Absorbent & Quick Dry, Bathroom Shower Kitchen Use, Blue",B08HVBD912,X003KB03U9,,新品,服装、面料、毛绒玩具和纺织品,42.97,18.5,17.13,15.35,22,1,22,FBA19F2890KDU000012
BT004-GREY,"SEMAXE 4 Piece Grey Bath Towel Set for Bathroom, 100% Cotton Bath Towels with Hanging Loop, 55 x 27 Inch, Soft Absorbent & Quick Dry, for Home",B0DK6FMQXC,X004IW834H,,新品,服装、面料、毛绒玩具和纺织品,32.12,23.23,15.16,15.35,6,2,12,"FBA19F2890KDU000003,FBA19F2890KDU000002"
T001WFI-1-WASMXUFBA,"SEMAXE 100% Cotton Washcloths 12-Pack, 13 × 13 Inch Soft Face Towels with Hanging Loop, Absorbent & Quick Dry, Bathroom Shower Kitchen Use",B0D62BRWHY,X0049L393H,,新品,服装、面料、毛绒玩具和纺织品,42.97,18.5,17.13,15.35,22,1,22,FBA19F2890KDU000022
T002GY-1-SMXUFBA,"SEMAXE Gray Hand Towels for Bathroom, 4-Pack Cotton Towels with Hanging Loop, Quick-Drying, Easy Care",B07GXM34W4,X001YWF2OX,,新品,服装、面料、毛绒玩具和纺织品,39.2,18.5,17.13,15.35,22,4,88,"FBA19F2890KDU000033,FBA19F2890KDU000032,FBA19F2890KDU000034,FBA19F2890KDU000031"
HT006-GRAY,"SEMAXE Gray Hand Towels for Bathroom, 6-Pack Cotton Hand Towels with Hanging Loop, Soft & Absorbent, Quick Dry, Easy Care",B0FF22SXRK,X004QE46K7,,新品,服装、面料、毛绒玩具和纺织品,40.81,18.5,17.13,15.35,16,1,16,FBA19F2890KDU000010
BT004-BLUE,"SEMAXE 4 Piece Blue Bath Towel Set for Bathroom, 100% Cotton Bath Towels with Hanging Loop, 55 x 27 Inch, Soft Absorbent & Quick Dry, for Home",B0DK6G897R,X004LF6Y79,,新品,服装、面料、毛绒玩具和纺织品,32.12,23.23,15.16,15.35,6,1,6,FBA19F2890KDU000001
T001GY-18-BTSFBA,"SEMAXE Bath Towel Set, 18 Piece Towel Set for Bathroom, Large Value Pack, Quick Dry Cotton Towels with Hanging Loops, Easy Care, Grey",B0CR1PNT6R,X004314BS5,,新品,服装、面料、毛绒玩具和纺织品,42.95,23.23,17.72,14.96,4,1,4,FBA19F2890KDU000018
T001W-1-WASMXUFBA,"SEMAXE 100% Cotton Washcloths 12-Pack, 13 × 13 Inch Soft Face Towels with Hanging Loop, Absorbent & Quick Dry, Bathroom Shower Kitchen Use, White",B08HVJTQ94,X003FVNQMV,,新品,服装、面料、毛绒玩具和纺织品,42.97,18.5,17.13,15.35,22,1,22,FBA19F2890KDU000021
T001LB-1-SMXUFBA,"SEMAXE Bath Towel Set, 8 Piece Towel Set for Bathroom, Quick Dry Cotton Towels with Hanging Loops, Easy Care, Blue",B07TT114NF,X0028911B9,,新品,服装、面料、毛绒玩具和纺织品,39.68,23.23,15.16,15.35,10,1,10,FBA19F2890KDU000019
BT004-YE&GR,"SEMAXE 4 Piece Yellow & Gray Bath Towel Set for Bathroom, 100% Cotton Bath Towels with Hanging Loop, 55 x 27 Inch, Soft Absorbent & Quick Dry, for Home",B0DZ6JDPWM,X004LG7I1T,,新品,服装、面料、毛绒玩具和纺织品,32.12,23.23,15.16,15.35,6,1,6,FBA19F2890KDU000006
TS012-BEACH,"SEMAXE Bath Towel Set, 12 Piece Cotton Towel Set for Bathroom, More Towels for Family Use, Quick Dry with Hanging Loops, Easy Care, Coastal Ombre",B0DD3WL411,X004IQ9WG1,,新品,服装、面料、毛绒玩具和纺织品,45.37,23.23,15.16,15.35,6,1,6,FBA19F2890KDU000040
T001GY-1-WASMXUFBA,"SEMAXE 100% Cotton Washcloths 12-Pack, 13 × 13 Inch Soft Face Towels with Hanging Loop, Absorbent & Quick Dry, Bathroom Shower Kitchen Use, Grey",B08BHZYR8G,X003FVBTA7,,新品,服装、面料、毛绒玩具和纺织品,42.97,18.5,17.13,15.35,22,1,22,FBA19F2890KDU000017
T001Y-1-WASMXUFBA,"SEMAXE 100% Cotton Washcloths 12-Pack, 13 × 13 Inch Soft Face Towels with Hanging Loop, Absorbent & Quick Dry, Bathroom Shower Kitchen Use, Yellow",B07S2GP495,X003FVNTSR,,新品,服装、面料、毛绒玩具和纺织品,42.97,18.5,17.13,15.35,22,1,22,FBA19F2890KDU000029
T001BLB-1-WASMXUFBA,"SEMAXE 100% Cotton Washcloths 12-Pack, 13 × 13 Inch Soft Face Towels with Hanging Loop, Absorbent & Quick Dry, Bathroom Shower Kitchen Use",B08HV5HSZR,X003FTXY7P,,新品,服装、面料、毛绒玩具和纺织品,42.97,18.5,17.13,15.35,22,1,22,FBA19F2890KDU000014
T001REB-1-HASMXUFBA,"SEMAXE Ombre Gradient Hand Towels for Bathroom, 4-Pack Cotton Hand Towels with Hanging Loop, Soft & Absorbent, Quick Dry, Modern Bathroom Decor Use, Easy Care",B08HVDDZ28,X003FVELZH,,新品,服装、面料、毛绒玩具和纺织品,39.2,18.5,17.13,15.35,22,1,22,FBA19F2890KDU000020
BT004-WHITE,"SEMAXE 4 Piece White Bath Towel Set for Bathroom, 100% Cotton Bath Towels with Hanging Loop, 55 x 27 Inch, Soft Absorbent & Quick Dry, for Home",B0DK6G9YBC,X004IW63KN,,新品,服装、面料、毛绒玩具和纺织品,32.12,23.23,15.16,15.35,6,1,6,FBA19F2890KDU000005
