"工作流程名称","wfdb4e276d-3e20-4851-af7f-8e3521d49eaa"
"货件编号","FBA19F25ZHSD"
"货件名称","FBA STA (05/27/2026 10:03)-TEB9"
"配送地址","SOMERSET, NJ"
"箱子数量","51"
"SKU 数量","31"
"商品数量","700"

"原厂包装发货（51 箱）"
"SKU","商品名称","ASIN","FNSKU","原厂包装模板名称","状况","预处理类型","包装箱重量（磅）","箱子长度（英寸）","箱子宽度（英寸）","箱子高度（英寸）","每箱件数","箱子总数","商品总数","箱号"
"BT004-WHITE","SEMAXE 4 Piece White Bath Towel Set for Bathroom, 100% Cotton Bath Towels with Hanging Loop, 55 x 27 Inch, Soft Absorbent & Quick Dry, for Home","B0DK6G9YBC","X004IW63KN","","新品","服装、面料、毛绒玩具和纺织品","32.12","23.23","15.16","15.35","6","1","6","FBA19F25ZHSDU000007"
"BT004-BLUE","SEMAXE 4 Piece Blue Bath Towel Set for Bathroom, 100% Cotton Bath Towels with Hanging Loop, 55 x 27 Inch, Soft Absorbent & Quick Dry, for Home","B0DK6G897R","X004LF6Y79","","新品","服装、面料、毛绒玩具和纺织品","32.12","23.23","15.16","15.35","6","1","6","FBA19F25ZHSDU000001"
"TS012-BEACH","SEMAXE Bath Towel Set, 12 Piece Cotton Towel Set for Bathroom, More Towels for Family Use, Quick Dry with Hanging Loops, Easy Care, Coastal Ombre","B0DD3WL411","X004IQ9WG1","","新品","服装、面料、毛绒玩具和纺织品","45.37","23.23","15.16","15.35","6","1","6","FBA19F25ZHSDU000048"
"HT006-WHITE","SEMAXE White Hand Towels for Bathroom, 6-Pack Cotton Hand Towels with Hanging Loop, Soft & Absorbent, Quick Dry, Clean Hotel Use, Easy Care","B0FF1N6NLW","X004QE4625","","新品","服装、面料、毛绒玩具和纺织品","40.81","18.5","17.13","15.35","16","1","16","FBA19F25ZHSDU000014"
"TS008-WF","SEMAXE Bath Towel Set, 8 Piece Towel Set for Bathroom, Quick Dry Cotton Towels with Hanging Loops, Easy Care, Colorful Striped","B0FPDZB998","X004TMAGV9","","新品","服装、面料、毛绒玩具和纺织品","39.68","23.23","15.16","15.35","10","1","10","FBA19F25ZHSDU000047"
"T001GY-1-WASMXUFBA","SEMAXE 100% Cotton Washcloths 12-Pack, 13 × 13 Inch Soft Face Towels with Hanging Loop, Absorbent & Quick Dry, Bathroom Shower Kitchen Use, Grey","B08BHZYR8G","X003FVBTA7","","新品","服装、面料、毛绒玩具和纺织品","42.97","18.5","17.13","15.35","22","1","22","FBA19F25ZHSDU000021"
"T002Y-1-SMXUFBA","SEMAXE Yellow Hand Towels for Bathroom, 4-Pack Cotton Hand Towels with Hanging Loop, Soft & Absorbent, Quick Dry, Bright Bathroom Use, Easy Care","B07GXLBNNB","X001Z9Z24F","","新品","服装、面料、毛绒玩具和纺织品","39.2","18.5","17.13","15.35","22","2","44","FBA19F25ZHSDU000046,FBA19F25ZHSDU000045"
"T001BLB-1-WASMXUFBA","SEMAXE 100% Cotton Washcloths 12-Pack, 13 × 13 Inch Soft Face Towels with Hanging Loop, Absorbent & Quick Dry, Bathroom Shower Kitchen Use","B08HV5HSZR","X003FTXY7P","","新品","服装、面料、毛绒玩具和纺织品","42.97","18.5","17.13","15.35","22","2","44","FBA19F25ZHSDU000018,FBA19F25ZHSDU000017"
"T001GY-18-BTSFBA","SEMAXE Bath Towel Set, 18 Piece Towel Set for Bathroom, Large Value Pack, Quick Dry Cotton Towels with Hanging Loops, Easy Care, Grey","B0CR1PNT6R","X004314BS5","","新品","服装、面料、毛绒玩具和纺织品","42.95","23.23","17.72","14.96","4","1","4","FBA19F25ZHSDU000022"
"T001Y-1-WASMXUFBA","SEMAXE 100% Cotton Washcloths 12-Pack, 13 × 13 Inch Soft Face Towels with Hanging Loop, Absorbent & Quick Dry, Bathroom Shower Kitchen Use, Yellow","B07S2GP495","X003FVNTSR","","新品","服装、面料、毛绒玩具和纺织品","42.97","18.5","17.13","15.35","22","1","22","FBA19F25ZHSDU000035"
"T001LB-1-SMXUFBA","SEMAXE Bath Towel Set, 8 Piece Towel Set for Bathroom, Quick Dry Cotton Towels with Hanging Loops, Easy Care, Blue","B07TT114NF","X0028911B9","","新品","服装、面料、毛绒玩具和纺织品","39.68","23.23","15.16","15.35","10","1","10","FBA19F25ZHSDU000023"
"T001BLB-1-SMXUFBA","SEMAXE Bath Towel Set, 8 Piece Towel Set for Bathroom, Quick Dry Cotton Towels with Hanging Loops, Easy Care, Coastal Ombre","B08KWC3TQZ","X003HJPEJJ","","新品","服装、面料、毛绒玩具和纺织品","39.68","23.23","15.16","15.35","10","1","10","FBA19F25ZHSDU000016"
"BT004-GREY","SEMAXE 4 Piece Grey Bath Towel Set for Bathroom, 100% Cotton Bath Towels with Hanging Loop, 55 x 27 Inch, Soft Absorbent & Quick Dry, for Home","B0DK6FMQXC","X004IW834H","","新品","服装、面料、毛绒玩具和纺织品","32.12","23.23","15.16","15.35","6","3","18","FBA19F25ZHSDU000003,FBA19F25ZHSDU000004,FBA19F25ZHSDU000002"
"TS012-BLUE","SEMAXE Bath Towel Set, 12 Piece Cotton Towel Set for Bathroom, More Towels for Family Use, Quick Dry with Hanging Loops, Easy Care, Blue","B0DD3XKK9D","X004IO7VA7","","新品","服装、面料、毛绒玩具和纺织品","45.37","23.23","15.16","15.35","6","1","6","FBA19F25ZHSDU000049"
"TS012-YG","SEMAXE Bath Towel Set, 12 Piece Cotton Towel Set for Bathroom, More Towels for Family Use, Quick Dry with Hanging Loops, Easy Care, Yellow & Gray","B0DY7LLTVD","X004L3CIUX","","新品","服装、面料、毛绒玩具和纺织品","45.37","23.23","15.16","15.35","6","1","6","FBA19F25ZHSDU000051"
"T001W-1-WASMXUFBA","SEMAXE 100% Cotton Washcloths 12-Pack, 13 × 13 Inch Soft Face Towels with Hanging Loop, Absorbent & Quick Dry, Bathroom Shower Kitchen Use, White","B08HVJTQ94","X003FVNQMV","","新品","服装、面料、毛绒玩具和纺织品","42.97","18.5","17.13","15.35","22","1","22","FBA19F25ZHSDU000025"
"HT006-GRAY","SEMAXE Gray Hand Towels for Bathroom, 6-Pack Cotton Hand Towels with Hanging Loop, Soft & Absorbent, Quick Dry, Easy Care","B0FF22SXRK","X004QE46K7","","新品","服装、面料、毛绒玩具和纺织品","40.81","18.5","17.13","15.35","16","2","32","FBA19F25ZHSDU000013,FBA19F25ZHSDU000012"
"HT006-BLUE","SEMAXE Blue Hand Towels for Bathroom, 6-Pack Cotton Hand Towels with Hanging Loop, Soft & Absorbent, Quick Dry, Fresh Bathroom Use, Easy Care","B0FF259TD7","X004QEGHHH","","新品","服装、面料、毛绒玩具和纺织品","40.81","18.5","17.13","15.35","16","1","16","FBA19F25ZHSDU000011"
"T001BL1-1-WASMXUFBA","SEMAXE 100% Cotton Washcloths 12-Pack, 13 × 13 Inch Soft Face Towels with Hanging Loop, Absorbent & Quick Dry, Bathroom Shower Kitchen Use, Blue","B08HVBD912","X003KB03U9","","新品","服装、面料、毛绒玩具和纺织品","42.97","18.5","17.13","15.35","22","1","22","FBA19F25ZHSDU000015"
